post,tags
60,"[u'#ladyinred', u'#fashion', u'#styleblogger']"
61,[u'#VegasLife']
62,"[u'#views', u'#sea', u'#palmademallorca', u'#paraiso', u'#greenwater', u'#beautifulsea', u'#weather', u'#beautifulview', u'#shoot', u'#photography', u'#shooting', u'#photoshoot', u'#photographer', u'#paradise', u'#photography', u'#greentree', u'#bluesea', u'#mylife', u'#views', u'#bluesea', u'#thinkgreen', u'#boanoite', u'#artist', u'#fashioneditorial', u'#beautiful', u'#instapic', u'#picoftheday', u'#photooftheday']"
63,"[u'#croptop', u'#fashion', u'#styleblogger', u'#vegas', u'#style', u'#beauty', u'#styling', u'#blacknwhite', u'#squats', u'#shape', u'#photography', u'#shooting', u'#photoshoot', u'#', u'#madrid', u'#fashionphotography', u'#handsome', u'#latina', u'#mylife', u'#usa', u'#dress', u'#miss', u'#lovinglife', u'#artist', u'#fashioneditorial', u'#beautiful', u'#portrait', u'#picoftheday', u'#photooftheday']"
64,"[u'#everythingwhite', u'#fashion', u'#ponytail', u'#vegas', u'#style', u'#beauty', u'#styling', u'#models', u'#model', u'#shape', u'#photography', u'#shooting', u'#photoshoot', u'#', u'#madrid', u'#fashionphotography', u'#handsome', u'#latina', u'#mylife', u'#usa', u'#flipyourhair', u'#miss', u'#boanoite', u'#artist', u'#fashioneditorial', u'#beautiful', u'#portrait', u'#picoftheday', u'#photooftheday', u'#mallorca']"
65,"[u'#curlyhair', u'#fashion', u'#vegas', u'#style', u'#beauty', u'#styling', u'#models', u'#model', u'#shape', u'#photography', u'#shooting', u'#photoshoot', u'#', u'#madrid', u'#fashionphotography', u'#handsome', u'#latina', u'#mylife', u'#usa', u'#eyeliner', u'#miss', u'#boanoite', u'#artist', u'#fashioneditorial', u'#beautiful', u'#portrait', u'#picoftheday', u'#photooftheday', u'#mallorca']"
66,"[u'#views', u'#sea', u'#vegas', u'#paraiso', u'#greenwater', u'#beautifulsea', u'#weather', u'#beautifulview', u'#shoot', u'#photography', u'#shooting', u'#photoshoot', u'#photographer', u'#paradise', u'#photography', u'#greentree', u'#bluesea', u'#mylife', u'#views', u'#bluesea', u'#miss', u'#boanoite', u'#artist', u'#fashioneditorial', u'#beautiful', u'#instapic', u'#picoftheday', u'#photooftheday']"
67,"[u'#views', u'#sea', u'#somewhereonlyweknow', u'#paraiso', u'#greenwater', u'#beautifulsea', u'#weather', u'#beautifulview', u'#shoot', u'#photography', u'#shooting', u'#photoshoot', u'#photographer', u'#paradise', u'#photography', u'#greentree', u'#bluesea', u'#mylife', u'#views', u'#lovenature', u'#thinkgreen', u'#boanoite', u'#artist', u'#fashioneditorial', u'#beautiful', u'#instapic', u'#picoftheday', u'#photooftheday']"
68,"[u'#white', u'#usa', u'#fitness', u'#gym', u'#motivation', u'#workout', u'#vegas', u'#squats', u'#bodybuildinh', u'#fitnessaddict', u'#fitnessmotivation', u'#squatlife', u'#model', u'#hardybody', u'#fitnessworld', u'#squadgoals', u'#fitnessmodel', u'#fitnesslovers', u'#fitnesslifestyle', u'#fitnessjourney', u'#fitnessgirls', u'#fitnessgirl', u'#mallorca', u'#fitmodels', u'#lifestyle', u'#healthy', u'#fitfitness', u'#sixpackfemme', u'#muscle']"
69,"[u'#mixedgirl', u'#curly', u'#mallorca']"
70,"[u'#editorial', u'#fashion', u'#shorthair', u'#vegas', u'#style', u'#beauty', u'#styling', u'#redisalwaysagoodidea', u'#model', u'#shoot', u'#photography', u'#shooting', u'#photoshoot', u'#', u'#madrid', u'#fashionphotography', u'#handsome', u'#elegance', u'#mylife', u'#usa', u'#ladyinred', u'#polaroid', u'#boanoite', u'#artist', u'#fashioneditorial', u'#beautiful', u'#portrait', u'#picoftheday', u'#photooftheday', u'#mallorca']"
71,[u'#Squared']
72,"[u'#mixedgirl', u'#fashion', u'#vegas', u'#style', u'#beauty', u'#styling', u'#instavideo', u'#portrait', u'#shape', u'#photography', u'#views', u'#sn', u'#', u'#madrid', u'#fashionphotography', u'#handsome', u'#latina', u'#mylife', u'#usa', u'#orientaleyes', u'#miss', u'#boanoite', u'#views', u'#fashioneditorial', u'#beautiful', u'#portrait', u'#picoftheday', u'#photooftheday', u'#mallorca']"
73,"[u'#shaped', u'#booty']"
74,"[u'#editorial', u'#fashion', u'#ponytail', u'#vegas', u'#style', u'#beauty', u'#styling', u'#models', u'#model', u'#shoot', u'#photography', u'#shooting', u'#photoshoot', u'#photographer', u'#madrid', u'#fashionphotography', u'#handsome', u'#latina', u'#mylife', u'#myjob', u'#curly', u'#miss', u'#boanoite', u'#artist', u'#fashioneditorial', u'#beautiful', u'#portrait', u'#picoftheday', u'#photooftheday', u'#mallorca']"
75,"[u'#instants', u'#vegas', u'#bunnys']"
